Feature,Outlier Percentage
p23031_i0,0.0
p23030_i0,0.0
p23029_i0,0.0
p23028_i0,0.0
p23026_i0,0.0
p23025_i0,0.0
p23024_i0,0.0
p23023_i0,0.0
p23021_i0,0.0
p23020_i0,0.0
p23019_i0,0.0
p23018_i0,0.0
p23044_i0,0.0
p23100_i0,0.0
p23130_i0,0.0
p23101_i0,0.0
p23128_i0,0.0
p23127_i0,0.0
p23126_i0,0.0
p23125_i0,0.0
p23123_i0,0.0
p23122_i0,0.0
p23121_i0,0.0
p23120_i0,0.0
p23118_i0,0.0
p23117_i0,0.0
p23116_i0,0.0
p23115_i0,0.0
p23113_i0,0.0
p23112_i0,0.0
p23111_i0,0.0
p23110_i0,0.0
p23108_i0,0.0
p23107_i0,0.0
p23106_i0,0.0
p23105_i0,0.0
p23102_i0,0.0
target,0.0
